"p","y","t","fip_title","c","q","res"
"F1","2021","MD","ACTRIS_ARES_FIP_2021","ACTRIS-ARES","F1-MD","Handle_System"
"F1","2021","MD","ACTRIS_ARES_FIP_2021","ACTRIS-ARES","F1-MD","ORCID"
"F1","2021","MD","ACTRIS_ARES_FIP_2021","ACTRIS-ARES","F1-MD","DOI"
"F1","2019","MD","ACTRIS-ASC_FIP_2019","ACTRIS-ASC","F1-MD","UUID"
"F1","2020","MD","ACTRIS-ASC_FIP_2020","ACTRIS-ASC","F1-MD","UUID"
"F1","2021","MD","ACTRIS-ASC_FIP_2021","ACTRIS-ASC","F1-MD","UUID"
"F1","2019","MD","ACTRIS-ASC_FIP_2019","ACTRIS-ASC","F1-MD","DOI"
"F1","2020","MD","ACTRIS-ASC_FIP_2020","ACTRIS-ASC","F1-MD","DOI"
"F1","2021","MD","ACTRIS-ASC_FIP_2021","ACTRIS-ASC","F1-MD","DOI"
"F1","2021","MD","ACTRIS_CLU_FIP_2021","ACTRIS_CLU","F1-MD","Handle_System"
"F1","2021","MD","ACTRIS_CLU_FIP_2021","ACTRIS_CLU","F1-MD","ORCID"
"F1","2021","MD","ACTRIS-DVAS_FIP_2021","ACTRIS_DVAS","F1-MD","UUID"
"F1","2019","MD","ACTRIS-GRES_FIP_2019","ACTRIS_GRES","F1-MD","UUID"
"F1","2020","MD","ACTRIS-GRES_FIP_2020","ACTRIS_GRES","F1-MD","UUID"
"F1","2021","MD","ACTRIS-GRES_FIP_2021","ACTRIS_GRES","F1-MD","UUID"
"F1","2020","MD","ACTRIS-GRES_FIP_2020","ACTRIS_GRES","F1-MD","DOI"
"F1","2021","MD","ACTRIS-GRES_FIP_2021","ACTRIS_GRES","F1-MD","DOI"
"F1","2019","MD","ACTRIS-GRES_FIP_2019","ACTRIS_GRES","F1-MD","DOI"
"F1","2021","MD","ACTRIS-InSitu_FIP_2021","ACTRIS_InSitu","F1-MD","DOI"
"F1","2022","MD","ACTRIS-ASC_FIP_2022","AERIS","F1-MD","UUID"
"F1","2022","MD","ACTRIS-ASC_FIP_2022","AERIS","F1-MD","DOI"
"F1","2019","MD","AnaEE_FIP_2019","Anaee","F1-MD","UUID"
"F1","2020","MD","AnaEE_FIP_2020","Anaee","F1-MD","UUID"
"F1","2021","MD","AnaEE_FIP_2021","Anaee","F1-MD","UUID"
"F1","2019","MD","AnaEE_FIP_2019","Anaee","F1-MD","DOI"
"F1","2020","MD","AnaEE_FIP_2020","Anaee","F1-MD","DOI"
